merTbin,merQVbin,dglaciationp,dcloudthicknessp,merT,merQV
16,3,4.59079025296397e-24,0.281963983694168,-13.75,0.002
16,2,1.19791550656089e-26,3.22508190465024e-29,-13.75,0.001
15,2,7.60563683918219e-131,3.69110002669292e-143,-17.5,0.001
15,1,8.83523581614373e-106,6.79012400195005e-64,-17.5,0
14,1,1.73734147263695e-99,0.000874705568662226,-21.25,0
13,1,6.21710743496919e-43,8.88620003421755e-24,-25,0
14,2,1.88030491724305e-44,2.66946919407517e-38,-21.25,0.001
16,1,0.000333952690469374,0.49634719199409,-13.75,0
17,2,0.0803192730419553,3.32165766426925e-12,-10,0.001
18,4,0.741030233191118,0.949520106883646,-6.25,0.003
17,4,7.49769243646683e-05,0.0181631518579436,-10,0.003
17,3,1.63082513401477e-05,0.613196954467749,-10,0.002
12,1,6.22758009154057e-23,0.351661129236207,-28.75,0
18,3,0.0941038806012466,0.0127778519085391,-6.25,0.002
18,2,0.0292836262456925,9.88708560712015e-06,-6.25,0.001
17,1,0.317154344012645,0.0722316392178238,-10,0
19,1,2.52868335602811e-12,1.12524782266041e-08,-2.5,0
19,2,9.8361018905475e-21,6.43104139443096e-34,-2.5,0.001
18,1,1.76989785688147e-05,0.000122672589337783,-6.25,0
19,4,2.70960556810104e-09,3.25315858853218e-24,-2.5,0.003
19,3,0.554341151867364,3.99671078410607e-05,-2.5,0.002
18,5,0.00495091100828374,0.0024632246658043,-6.25,0.004
19,6,5.25876295940993e-31,1.2005782537288e-25,-2.5,0.005
19,5,2.35711384304712e-12,1.21990064353705e-07,-2.5,0.004
20,5,0.028894429369483,0.66022374533283,1.25,0.004
20,6,0.000139360772608831,2.15658367122791e-05,1.25,0.005
12,1,NA,NA,-28.75,0
13,1,NA,NA,-25,0
14,1,NA,NA,-21.25,0
15,1,NA,NA,-17.5,0
16,1,NA,NA,-13.75,0
17,1,NA,NA,-10,0
18,1,NA,NA,-6.25,0
19,1,NA,NA,-2.5,0
20,1,NA,NA,1.25,0
12,2,NA,NA,-28.75,0.001
13,2,NA,NA,-25,0.001
14,2,NA,NA,-21.25,0.001
15,2,NA,NA,-17.5,0.001
16,2,NA,NA,-13.75,0.001
17,2,NA,NA,-10,0.001
18,2,NA,NA,-6.25,0.001
19,2,NA,NA,-2.5,0.001
20,2,NA,NA,1.25,0.001
12,3,NA,NA,-28.75,0.002
13,3,NA,NA,-25,0.002
14,3,NA,NA,-21.25,0.002
15,3,NA,NA,-17.5,0.002
16,3,NA,NA,-13.75,0.002
17,3,NA,NA,-10,0.002
18,3,NA,NA,-6.25,0.002
19,3,NA,NA,-2.5,0.002
20,3,NA,NA,1.25,0.002
12,4,NA,NA,-28.75,0.003
13,4,NA,NA,-25,0.003
14,4,NA,NA,-21.25,0.003
15,4,NA,NA,-17.5,0.003
16,4,NA,NA,-13.75,0.003
17,4,NA,NA,-10,0.003
18,4,NA,NA,-6.25,0.003
19,4,NA,NA,-2.5,0.003
20,4,NA,NA,1.25,0.003
12,5,NA,NA,-28.75,0.004
13,5,NA,NA,-25,0.004
14,5,NA,NA,-21.25,0.004
15,5,NA,NA,-17.5,0.004
16,5,NA,NA,-13.75,0.004
17,5,NA,NA,-10,0.004
18,5,NA,NA,-6.25,0.004
19,5,NA,NA,-2.5,0.004
20,5,NA,NA,1.25,0.004
12,6,NA,NA,-28.75,0.005
13,6,NA,NA,-25,0.005
14,6,NA,NA,-21.25,0.005
15,6,NA,NA,-17.5,0.005
16,6,NA,NA,-13.75,0.005
17,6,NA,NA,-10,0.005
18,6,NA,NA,-6.25,0.005
19,6,NA,NA,-2.5,0.005
20,6,NA,NA,1.25,0.005
