level,numeric_month,month,dCRE,dCREhi,dCRElo,dCRElw,dCRElwhi,dCRElwlo,dCREsw,dCREswhi,dCREswlo,frac_ltn10,mean_fdust,mean_mdust,sza
BOA,5,May,4.21663312085092,16.9029848351249,1.0595961497156,-1.67581771449575,-0.31343065912164,-5.48454490867388,5.89245083534667,22.3875297437988,1.37302680883724,93.3878822717375,301.24321915732,3692.65414772153,59.9001575081633
BOA,6,Jun,6.27399956450152,15.2217744709386,1.6343092136977,-0.13962118921239,0.0241766449539025,-0.515501021141003,6.41362075371391,15.7372754920796,1.6101325687438,57.2084110238897,238.933477948215,2121.7451126996,57.7693409298973
BOA,7,Jul,1.54560497354126,2.0406091129912,0.690427680511748,-0.412631420970425,-0.171891238884617,-0.431544564332946,1.95823639451169,2.47215367732414,0.862318919396364,30.4574503316687,220.843654774446,1112.3570968097,60.5879113988131
BOA,8,Aug,2.2194829659397,5.52991386905101,0.570349590974542,-0.0457692988864082,0.00840178445159567,-0.33800308279339,2.2652522648261,5.8679169518444,0.561947806522947,42.8983431402911,212.692347337821,703.762051801384,68.9669445822687
BOA,9,Sep,-0.776847056974664,-0.0314775377559327,-1.43986446642189,-0.475016017661049,-0.124973170441108,-0.962300347937746,-0.301831039313615,0.0934956326851752,-0.477564118484148,93.6198692469046,220.676457417762,813.25080940134,80.2109982789054
TOA,5,May,1.49109230010105,16.3584450615409,0.475759923209461,-2.49921587622956,-0.433844482730562,-2.49921587622956,3.99030817633061,18.6588678616356,0.909604405940023,93.3878822717375,301.24321915732,3692.65414772153,59.9001575081633
TOA,6,Jun,4.79544815429364,10.7863242274434,1.2517674152475,-0.593611054005188,-0.0834106463710049,-2.36330452261921,5.38905920829883,13.1496287500626,1.3351780616185,57.2084110238897,238.933477948215,2121.7451126996,57.7693409298973
TOA,7,Jul,2.00379261761685,3.84235248140012,0.687132691022049,0.241571087163891,1.50154620721459,-0.0264393831095854,1.76222153045296,2.34080627418553,0.713572074131634,30.4574503316687,220.843654774446,1112.3570968097,60.5879113988131
TOA,8,Aug,1.05183930009894,1.05183930009894,0.415745764768795,-0.939657953516406,-0.0761336121419263,-3.67141085307819,1.99149725361535,4.50070711401597,0.491879376910722,42.8983431402911,212.692347337821,703.762051801384,68.9669445822687
TOA,9,Sep,-1.04885772445516,-0.310218755943156,-2.32953443547387,-0.694096715316265,-0.370036716770391,-1.86736616690724,-0.354761009138897,0.0598179608272351,-0.462168268566634,93.6198692469046,220.676457417762,813.25080940134,80.2109982789054
