"","QV5e-04","QV0.0015","QV0.0025","QV0.0035","QV0.0045","QV0.0055"
"merT-26.875",6.22758009154057e-23,NA,NA,NA,NA,NA
"merT-23.125",6.21710743496919e-43,NA,NA,NA,NA,NA
"merT-19.375",1.73734147263695e-99,1.88030491724305e-44,NA,NA,NA,NA
"merT-15.625",8.83523581614373e-106,7.60563683918219e-131,NA,NA,NA,NA
"merT-11.875",0.000333952690469374,1.19791550656089e-26,4.59079025296397e-24,NA,NA,NA
"merT-8.125",0.317154344012645,0.0803192730419553,1.63082513401477e-05,7.49769243646683e-05,NA,NA
"merT-4.375",1.76989785688147e-05,0.0292836262456925,0.0941038806012466,0.741030233191118,0.00495091100828374,NA
"merT-0.625",2.52868335602811e-12,9.8361018905475e-21,0.554341151867364,2.70960556810104e-09,2.35711384304712e-12,5.25876295940993e-31
"merT3.125",NA,NA,NA,NA,0.028894429369483,0.000139360772608831
